Family	Name	Parent1	Parnet2`	Contribution1	Contribution2	F
Harris	F2_100	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_101	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_102	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_103	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_104	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_106	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_107	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_108	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_109	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_110	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_111	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_112	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_113	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_114	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_115	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_116	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_117	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_118	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_119	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_120	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_121	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_122	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_123	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_124	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_125	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_126	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_127	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_128	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_129	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_130	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_131	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_132	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_133	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_134	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_135	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_136	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_137	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_138	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_139	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_140	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_142	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_143	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_144	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_145	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_146	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_147	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_148	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_149	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_150	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_151	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_152	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_153	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_154	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_155	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_156	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_158	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_159	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_160	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_161	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_162	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_164	ENTRY107	ENTRY57	0.5	0.5	0.5
Harris	F2_165	ENTRY107	ENTRY57	0.5	0.5	0.5
