F2,Rootwt,noeggs,eggperroot,BRIX
F2_100,13.8,12000,870,6.3
F2_101,15.8,21000,1329,2.1
F2_102,16.6,137400,8277,2.7
F2_103,13.3,1200,90,4.3
F2_104,12.2,4200,344,3.9
F2_106,16.6,3000,181,8.1
F2_107,18.2,0,0,7.8
F2_108,13.2,52800,4000,1.9
F2_109,13.5,63000,4667,3.8
F2_110,20.3,148200,7300,6.7
F2_111,11.9,0,0,2.3
F2_112,12.1,0,0,7.1
F2_113,9.3,4200,452,3.8
F2_114,15,2400,160,3.4
F2_115,20.5,0,0,7
F2_116,16.2,0,0,8
F2_117,9.7,0,0,4.2
F2_118,14.1,3000,213,2.7
F2_119,8,0,0,4
F2_120,12.7,4800,378,5.2
F2_121,11.1,1200,108,2.8
F2_122,19.9,1200,60,8.3
F2_123,14.2,55200,3887,3.8
F2_124,10.6,600,57,3.9
F2_125,10.3,2400,233,5.2
F2_126,14.3,1200,84,3.7
F2_127,9.3,3000,323,3.1
F2_128,7.5,600,80,4.4
F2_129,9.8,4200,429,4.4
F2_130,18,4800,267,9.4
F2_131,26.9,1200,45,10.1
F2_132,11.6,1200,103,4.4
F2_133,14.5,6000,414,7.1
F2_134,20,1200,60,9.2
F2_135,12,55800,4650,3.6
F2_136,20.3,1200,59,10.9
F2_137,18.6,1800,97,7.1
F2_138,22.5,179400,7973,9.6
F2_139,10.9,1200,110,6.7
F2_140,14.7,600,41,8.6
F2_142,10.2,25800,2529,3
F2_143,12.3,114600,9317,6.3
F2_144,12.1,600,50,8.6
F2_145,12.8,1800,141,6.9
F2_146,14,1200,86,8.4
F2_147,19.6,7800,398,7.7
F2_148,11.5,1800,157,8.9
F2_149,18.2,25800,1418,3.6
F2_150,16.6,35400,2133,4.6
F2_151,12.5,4800,384,2.3
F2_152,16.3,4800,294,8
F2_153,18.1,10200,564,2.8
F2_154,17.5,5400,309,9.3
F2_155,17.4,3000,172,9.1
F2_156,16.4,67800,4134,6.9
F2_158,21.8,4200,193,6.6
F2_159,16.3,3600,221,7.4
F2_160,28.4,4200,148,12.6
F2_161,27.2,600,22,12.5
F2_162,22.1,0,0,3.1
F2_164,12.8,0,0,3
F2_165,13.5,600,44,3.8
F2_166,25.1,12000,478,12.3
F2_167,25.1,600,24,8.4
F2_168,20.1,1800,90,7.6
F2_169,22.2,12000,541,4.8
F2_170,27.4,3000,109,7
F2_171,32.7,600,18,8.9
F2_172,19.8,0,0,6.9
F2_173,17.6,600,34,6.3
F2_174,12.7,1500,118,7.1
F2_176,20.1,1200,60,5
F2_177,18.7,112200,6000,4.7
F2_178,12,0,0,7.5
